Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C21, C22",0402,4,10u,C315248
"C10, C11, C12, C13, C14, C15, C17, C18, C23, C6, C7, C8, C9",0402,13,100n,C6119799
"C16, C3, C4, C5",0402,4,4.7u,C23733
"C19, C20",0402,2,15p,C106997
D1,0603,1,LED,C965799
D2,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,1,SK6812MINI-HS,C2922787
D3,D_SOD-323,1,1N5819WS,C191023
J1,TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
J2,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,JST SWD,C160389
J3,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Conn_01x02,C295747
J4,TF-01A,1,Micro_SD_Card,C91145
J5,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,JST I2C,C160390
L1,L_pol_2016,1,3.3u,C42411119
Q1,SOT-23,1,AO3401A,C347476
"R1, R10, R2",0402,3,5.1K,C25905
"R11, R12, R13",0402,3,10k,C25744
R3,0402,1,33,C25105
"R4, R5",0402,2,27,C138021
"R6, R7, R8, R9",0402,4,1k,C2906899
"SW1, SW2",TS-1088-ARXXX,2,SW_Push,C720477
U1,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,1,RP2350_60QFN,C42411118
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C26537
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U4,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,C16581
Y1,XTAL_ABM8-272-T3,1,ABM8-272-T3,C20625731
